# InSight catalogue art credits — GENERATED by scripts/build-catalog-art.mjs countries, do not edit.
# One row per image under web/catalog-art/countries/:
# key<TAB>file<TAB>name<TAB>author<TAB>licence<TAB>source
# The key is the catalogue key (public/countries.txt); the file is what
# hosting serves; author and licence are what the licence requires shown
# beside the picture, which the app's credits sheet draws from this file.
# A takedown is `node scripts/build-catalog-art.mjs countries --remove <key>` (D420).
# 246 entries.
300	300.webp	Greece	Unknown authorUnknown author	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Greece.svg
304	304.webp	Greenland	Jeffrey Connell (IceKarma)	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Greenland.svg
308	308.webp	Grenada	See file history below for details.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Grenada.svg
312	312.webp	Guadeloupe	Original: Unknown Vector: SKopp	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_France.svg
316	316.webp	Guam	Xrmap	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Guam.svg
320	320.webp	Guatemala	K21edgo	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Guatemala.svg
324	324.webp	Guinea	unknown author	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Guinea.svg
328	328.webp	Guyana	Whitney Smith	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Guyana.svg
332	332.webp	Haiti	(colours and size changes of the now deleted versions) Madden, Vzb83, Denelson83, Chanheigeorge, Zs…	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Haiti.svg
334	334.webp	Heard Island and McDonald Islands	Unknown (Vector graphics image by Ian Fieggen) (only minor code changes by uploader.)	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Australia_(converted).svg
336	336.webp	Vatican City	Goran_tek-en	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Vatican_City_(2023%E2%80%93present).svg
340	340.webp	Honduras	Kes47	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Honduras_(1949%E2%80%932022%2C_2026%E2%80%93present).svg
344	344.webp	Hong Kong	Designed by Tao Ho SVG code of 24 November 2005 version copied from Open Clip Art SVG code of 20 Au…	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Hong_Kong.svg
348	348.webp	Hungary	SKopp	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Hungary.svg
352	352.webp	Iceland	Original: Matthías Þórðarson Vector: Árni Dagur and Magasjukur2	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Iceland.svg
356	356.webp	India	Government of India	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_India.svg
360	360.webp	Indonesia	Jayakatwang	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Indonesia.svg
364	364.webp	Iran	SVG file: SiBr4 Designer: Hamid Nadimi Construction: ISIRI	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Iran.svg
368	368.webp	Iraq	See File history below for details.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Iraq.svg
372	372.webp	Ireland	Éire	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Ireland.svg
376	376.webp	Israel	Israel Belkind and Fanny Abramovitch (original) “The Provisional Council of State Proclamation of t…	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Israel.svg
380	380.webp	Italy	See below.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Italy.svg
384	384.webp	Ivory Coast	See File history below for details.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_C%C3%B4te_d'Ivoire.svg
388	388.webp	Jamaica	The SVG code is valid. This vector image was created with Inkscape by SKopp, and then manually edit…	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Jamaica.svg
392	392.webp	Japan	Various	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Japan.svg
398	398.webp	Kazakhstan	Shaken Niyazbekop	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Kazakhstan.svg
400	400.webp	Jordan	Unknown	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Jordan.svg
404	404.webp	Kenya	User:Pumbaa80	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Kenya.svg
408	408.webp	North Korea	Original: Unknown author Vector: Zscout370	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_North_Korea.svg
410	410.webp	South Korea	Original: Government of the Republic of Korea Vector: Great Brightstar and others	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_South_Korea.svg
414	414.webp	Kuwait	Derivative works of this file: Standard of the Emir of Kuwait.svg: Flag of Kuwait, Saudi Arabia and…	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Kuwait.svg
417	417.webp	Kyrgyzstan	Shakiev N.T., Primov U.B.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Kyrgyzstan.svg
418	418.webp	Laos	SKopp	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Laos.svg
422	422.webp	Lebanon	Henri Pharaon	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Lebanon.svg
426	426.webp	Lesotho	See File history below for details.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Lesotho.svg
428	428.webp	Latvia	Original: Ansis Cīrulis Vector: SKopp	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Latvia.svg
430	430.webp	Liberia	Government of Liberia	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Liberia.svg
434	434.webp	Libya	Various The SVG code is valid. This vector image was created with a text editor.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Libya.svg
438	438.webp	Liechtenstein	Mnmazur and others	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Liechtenstein.svg
440	440.webp	Lithuania	Original: Jonas Basanavičius, Tadas Daugirdas and Antanas Žmuidzinavičius Vector: SKopp The SVG cod…	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Lithuania.svg
442	442.webp	Luxembourg	Drawn by User:SKopp	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Luxembourg.svg
446	446.webp	Macau	see File history	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Macau.svg
450	450.webp	Madagascar	unknown author	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Madagascar.svg
454	454.webp	Malawi	Original: Unknown author Vector: Achim1999	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Malawi.svg
458	458.webp	Malaysia	MapGrid (old version SKopp, Zscout370 and Ranking Update)	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Malaysia.svg
462	462.webp	Maldives	See File history, below, for details.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Maldives.svg
466	466.webp	Mali	SKopp	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Mali.svg
470	470.webp	Malta	See File history below for details.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Malta.svg
474	474.webp	Martinique	User:MapGrid/User:HapHaxion/User:Femfem5/User:Triton, based on work by User:Carport	Public domain	https://commons.wikimedia.org/wiki/File:Flag-of-Martinique.svg
478	478.webp	Mauritania	See File history below for details.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Mauritania.svg
480	480.webp	Mauritius	Zscout370	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Mauritius.svg
484	484.webp	Mexico	Alex Covarrubias, 9 April 2006. Based on the arms by Juan Manuel Gabino Villascán.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Mexico.svg
492	492.webp	Monaco	Drawn by User:SKopp	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Monaco.svg
496	496.webp	Mongolia	See File history below for details.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Mongolia.svg
498	498.webp	Moldova	Gheorghe Vrabie	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Moldova.svg
499	499.webp	Montenegro	B1mbo, Froztbyte, Great Brightstar	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Montenegro.svg
500	500.webp	Montserrat	unknown author	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Montserrat.svg
504	504.webp	Morocco	Denelson83, Zscout370	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Morocco.svg
508	508.webp	Mozambique	FRELIMO	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Mozambique.svg
516	516.webp	Namibia	SVG by Vzb83~commonswiki et al.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Namibia.svg
520	520.webp	Nauru	User:Skimel	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Nauru.svg
524	524.webp	Nepal	Drawn by Pumbaa80, Achim1999	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Nepal.svg
528	528.webp	Netherlands	Zscout370	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_Netherlands.svg
531	531.webp	Curaçao	Original: Unknown Vector: David Benbennick	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Cura%C3%A7ao.svg
533	533.webp	Aruba	Original: Whitney Smith Vector: Wester	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Aruba.svg
534	534.webp	Sint Maarten	User:Shervinafshar, based on work of User:Washiucho. Earlier non-PD versions by User:SiBr4, User:Fr…	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Sint_Maarten.svg
540	540.webp	New Caledonia	User:WarX	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_FLNKS.svg
548	548.webp	Vanuatu	Kalontas Mahlon	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Vanuatu.svg
554	554.webp	New Zealand	Original: Albert Hastings Markham Vector: Zscout370, Hugh Jass, s. File history	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_New_Zealand.svg
558	558.webp	Nicaragua	C records	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Nicaragua.svg
562	562.webp	Niger	Made by: Philippe Verdy User:verdy_p, see also fr:Utilisateur:verdy_p.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Niger.svg
566	566.webp	Nigeria	Jon Harald Søby.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Nigeria.svg
570	570.webp	Niue	SKopp	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Niue.svg
574	574.webp	Norfolk Island	openclipart.org	CC0	https://commons.wikimedia.org/wiki/File:Flag_of_Norfolk_Island.svg
578	578.webp	Norway	Original: Fredrik Meltzer Vector: Gutten på Hemsen	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Norway.svg
580	580.webp	Northern Mariana Islands	unknown author	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_Northern_Mariana_Islands.svg
581	581.webp	United States Minor Outlying Islands	Uploaded by Dbenbenn; edited by users such as Zscout370, Jacobolus, Indolences, and Technion.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_United_States.svg
583	583.webp	Micronesia	unknown author	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_Federated_States_of_Micronesia.svg
584	584.webp	Marshall Islands	No machine-readable author provided. SKopp assumed (based on copyright claims).	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_Marshall_Islands.svg
585	585.webp	Palau	Original: John Blau Skebong Vector: Nightstallion	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Palau.svg
586	586.webp	Pakistan	User:Zscout370	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Pakistan.svg
591	591.webp	Panama	Zscout370 et al.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Panama.svg
598	598.webp	Papua New Guinea	User:Nightstallion	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Papua_New_Guinea.svg
600	600.webp	Paraguay	Republica del Paraguay	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Paraguay.svg
604	604.webp	Peru	David Benbennick	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Peru.svg
608	608.webp	Philippines	See File history below for details.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_Philippines.svg
612	612.webp	Pitcairn Islands	User:Dbenbenn	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_Pitcairn_Islands.svg
616	616.webp	Poland	See below.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Poland.svg
620	620.webp	Portugal	Original: Columbano Bordalo Pinheiro Vector: Vítor Luís Rodrigues, António Martins-Tuválkin	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Portugal_(official).svg
624	624.webp	Guinea-Bissau	Drawn by User:SKopp	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Guinea-Bissau.svg
626	626.webp	Timor-Leste	See File history, below, for details.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_East_Timor.svg
630	630.webp	Puerto Rico	Original: Unknown Vector: Cerejota	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Puerto_Rico.svg
634	634.webp	Qatar	See File history below for details.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Qatar.svg
638	638.webp	Réunion	Ch1902	Public domain	https://commons.wikimedia.org/wiki/File:Proposed_flag_of_R%C3%A9union_(VAR).svg
642	642.webp	Romania	AdiJapan	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Romania.svg
